sequencing_chemistry_id,reagent_kit_name,reagent_kit_part_number,flowcell_name,flowcell_part_number,instrument_model
20079638_20100086,WetCartridge Mode A-v1-150x2,20079638,DryCartridge-25M-v1,20100086,MiSeq i100 Plus
20079747_20100087,WetCartridge Mode B-v1-300x2,20079747,DryCartridge-25M-v1,20100087,MiSeq i100 Plus
20079747_20115216,WetCartridge Mode B-v1-300x2,20079747,DryCartridge-5M-v1,20115216,MiSeq i100 Plus
20079638_20115217,WetCartridge Mode A-v1-150x2,20079638,DryCartridge-5M-v1,20115217,MiSeq i100 Plus
20066617_20083896,Reagent-v1.5-1.5B-300c,20066617,FlowCell-1.5B,20083896,NovaSeq X Plus
20066626_20088039,Reagent-v1.5-25B-300c,20066626,FlowCell-25B,20088039,NovaSeq X Plus
20066614_20080370,Reagent-v1.5-10B-300c,20066614,FlowCell-10B,20080370,NovaSeq X Plus
15033572_15035217,Reagent kit v2 300c,15033572,Nano Flow Cell,15035217,MiSeq
15033573_15035217,Reagent kit v2 500c,15033573,Nano Flow Cell,15035217,MiSeq
15033572_15035218,Reagent kit v2 300c,15033572,Micro Flow Cell,15035218,MiSeq
15033572_15028382,Reagent kit v2 300c,15033572,Standard Flow Cell,15028382,MiSeq
15033573_15028382,Reagent kit v2 500c,15033573,Standard Flow Cell,15028382,MiSeq
15043963_15028382,Reagent kit v3 150c,15043963,Standard Flow Cell,15028382,MiSeq
15043962_15028382,Reagent kit v3 600c,15043962,Standard Flow Cell,15028382,MiSeq